"session_id","date","start_time","end_time","title","description","recorded","type","skill_level","speakers","tracks","room","room_os","level","cost"
"1062","2026-03-05","2:30 PM","3:30 PM","Finding the story in higher education data","From campus speech policies to federal funding cuts, higher education is in the headlines now more than ever. As former reporting interns for The Chronicle of Higher Education, we'll lead a lightning round on data sources we used to cover some of the hottest stories in higher ed: from the fall of affirmative action to a state-mandated purge of general education courses. This session is ideal for student journalists, and useful for any reporter covering the education beat. Attendees will need to bring their own laptop (no tablets) to participate in this class.","false","Hands-on","Beginner","Declan Bradley, Oberlin College; Garrett Shanley, Miami Herald","Beat reporting, Story ideas","102","BYO","1",""
"1129","2026-03-05","2:30 PM","3:30 PM","Next-gen crime data: Know your NIBRS!","Forget murder, robbery and burglary. Do you know how many ATM thefts your local police logged last year? Or carjackings? Or stalking cases? Most police agencies now log a wealth of detail on 58 crimes via the National Incident-Based Reporting. Learn how to get started using this invaluable but complicated data.","true","Panel","Intermediate","Jill Castellano, The Marshall Project; Paul Overberg, The Wall Street Journal; Maia Rosenfeld, KFF Health News","Tools & Tech, Research, Data analysis","White River I","","1",""
"1131","2026-03-05","2:30 PM","3:30 PM","Detangling federal lobbying disclosures with LobbyR","Political influence is getting harder and harder to track, but the Lobbying Disclosure Act Reports helps cut through some of the noise. With LobbyR, researchers, journalists, and others can easily access, clean, and visualize a much more comprehensive version of federal lobbying disclosures to understand what companies, groups and other interests are asking Congress and the administration for. In this session, you'll learn how just a few lines of R code will allow you to query, summarize, and plot real-world lobbying transparency data, enabling rapid insights and automated workflows. And there's no complex setup required. If you want to ask questions like ""who lobbied on issue X in the last five years?"", or ""how many dollars did registrant Y report?"", or ""are there clients/registrants filing that overlap?"", LobbyR makes this work programmatic, reproducible, and transparent. Participants should have a basic knowledge of R. Laptops will be provided. Participants should pre-register for an API key through this link: https://lda.gov/api/register/","false","Hands-on","Intermediate","Chris Cioffi, Bloomberg","Tools & Tech, Research, Story ideas","204","PC","2",""
"1234","2026-03-05","2:30 PM","3:30 PM","Introducing the new IRE Resource Center","The new IRE Resource Center is here! Members can now access an enhanced, user-friendly search interface with more opportunities to easily surface thousands of tipsheets, contest entries and other training materials. In this session, the volunteers who built the app will demonstrate its new features, talk about how it was made and solicit live feedback from the audience.","true","Demo","Beginner","Ben Welsh, Reuters; Derek Willis, University of Maryland","Tools & Tech","White River E","","1",""
"1238","2026-03-05","2:30 PM","3:30 PM","The two essential data sources for covering government spending","Tracking government spending has never been more convoluted. In the last year, DOGE took a ""chainsaw"" to federal contracts and grants, entire departments canceled awards en masse, and award recipients lost faith in the federal government as a financial partner. In the midst of it all, reporters do have public tools to dig through what some might see as a trail of chaos. In this session, we will break down two specific data resources any reporter needs to follow federal money: USA Spending and Sam.gov. Whether reporters are interested in funds from a specific federal department, funds going to a specific county, or even funds meant to achieve a specific purpose, this session will cover what is knowable, how to know it, and how to fact-check it. Panelists will also walk through what is not knowable and what should always be confirmed with federal agencies before going to print. This session is good for all levels of experience. Laptops will be provided.","false","Hands-on","Beginner","Jessie Blaeser, POLITICO; Rosie Cima, Big Local News; Lucia Walinchus, NBC Owned Television Stations","Beat reporting","203","PC","2",""
"1272","2026-03-05","2:30 PM","6:00 PM","Fun with shapes: Scripted mapping in R or Python","Let's face it, QGIS is the Excel of geospatial analysis. Sure, doing simple mapping in it and ArcGIS is a blast, but executing complex, reproducible joins and measurements can be a real drag. Taking a more scripted approach is way less of a buzzkill, especially when you need to revisit your earlier work or share with others. Whether you choose R or Python, follow along from mapping basics to more complex techniques that will make your next geospatial analysis a walk in the park. Cut loose, write some replicable code and have fun with shapes! Preregistration is required and seating is limited. To get the most out of this session, you should have a working knowledge of both GIS/mapping techniques and some experience with either Python or R. Laptops will be provided.","false","Hands-on","Advanced","Allie Kanik, Houston Chronicle; Ryan Little, ProPublica; Cam Rodriguez, Independent journalist","Mapping","205","OSX","2","45"
"1325","2026-03-05","2:30 PM","3:30 PM","Supporting the next generation of journalists through a historic slide in U.S. press freedom","As the next generation of journalists enters the field at a time when the Committee to Protect Journalists has warned that ""press freedom in the United States is under siege,"" we explore how student reporters are navigating that threatening climate on and off campus. We hear from student journalists whose universities have encroached on editorial independence or withdrawn institutional support. We also hear from a student journalist who was arrested and convicted for doing his job. As the industry reckons with this reality on a broad scale, we speak with a senior reporter at the U.S. Press Freedom Tracker and invite all in attendance to join us in a conversation as we ask: How can we best support our student colleagues under such conditions?","true","Panel","Beginner","Lucas Griffith, University of Cincinnati; Mia Hilkowitz, Indiana University; Olivia Mapes, The Purdue Exponent; Andrew Miller, Indiana Daily Student; Elaine Monaghan, Indiana University; Stephanie Sugars, U.S. Press Freedom Tracker","Students, Story ideas, Career","White River B","","1",""
"1336","2026-03-05","2:30 PM","6:00 PM","Pitch, please! How to contribute to the IRE Journal","Do you have a cool data project you want to highlight? Some FOIA expertise you wanna share? How about some *thoughts* about the industry? Pitch IRE Journal managing editor Adam Rhodes in the exhibitor hall!","false","Demo","Beginner","Adam Rhodes, IRE & NICAR","Story ideas","Foyer","","2",""
"1013","2026-03-05","3:45 PM","6:00 PM","Wanna get hired? Tales from the trenches","We're the hiring managers who've seen it all: the 11-page resumes, the glamorized headshots in applicant packages, the ones that come with a reference letter from Mom. We also know what we're looking for when we get your materials, and we're ready to spill out secrets. Come ask us anything, about resumes, cover letters, interviewing, etc. Participants should walk away with an actionable tipsheet of ideas and ways to improve their job searching techniques and give their materials a boost.","false","Master Class","Beginner","Emma Carew Grovum, Kimbap Media; Kai Teoh, The Dallas Morning News","Career","102","BYO","1","0"
"1035","2026-03-05","3:45 PM","4:45 PM","Challenges with cross-domain collaboration","As newsrooms shrink more journalists are collaborating with academics, nonprofit organizations and other groups for investigations. While collaborating allows us to do work we couldn't otherwise, they also come with specific challenges. What do you do when stakeholders want different things? Or when one team isn't able to deliver what was promised?","true","Panel","Beginner","Emily Kennedy, Centre for Anthropology and Journalism; Soo Oh, CalMatters / The Markup; Lisa Pickoff-White, California Reporting Project; Sam Stecklow, Invisible Institute","Story ideas","White River B","","1",""
